acousticness,danceability,energy,instrumentalness,valence,tempo,liveness
0.981,0.345,0.222,0.938,0.114,0.583580759,0.0896
0.104,0.422,0.597,0,0.9,0.305001499,0.314
0.743,0.616,0.331,2.26E-06,0.595,0.338047777,0.0596
0.0368,0.303,0.495,0.000412,0.136,0.244715758,0.0857
0.472,0.625,0.331,1.73E-06,0.537,0.553889621,0.122
0.000252,0.399,0.755,0.696,0.631,0.545429906,0.319
0.394,0.385,0.32,2.70E-05,0.452,0.776766171,0.0916
0.629,0.678,0.366,0,0.296,0.583001721,0.319
0.362,0.695,0.54,0.0423,0.983,0.460163363,0.0767
0.945,0.356,0.0641,0.904,0.265,0.637082302,0.141
0.224,0.627,0.716,6.84E-06,0.708,0.437293384,0.347
0.99,0.691,0.262,1.53E-06,0.722,0.366716357,0.0878
0.326,0.275,0.631,0.000195,0.109,0.567379993,0.209
0.705,0.845,0.599,0,0.922,0.471846805,0.151
0.018,0.398,0.794,0.000109,0.345,0.659369135,0.246
0.581,0.435,0.622,1.02E-06,0.5,0.575901309,0.351
0.143,0.668,0.537,0.00525,0.753,0.407643312,0.0781
0.976,0.475,0.157,0.0348,0.519,0.694945115,0.0776
0.757,0.613,0.279,0,0.955,0.678662215,0.0874
0.252,0.543,0.235,0,0.206,0.542559351,0.27
0.137,0.494,0.357,0.667,0.292,0.390259828,0.131
0.276,0.458,0.613,0.00113,0.659,0.32531303,0.315
0.548,0.64,0.714,0.000261,0.926,0.404123906,0.0683
0.1,0.909,0.307,0,0.313,0.426414846,0.237
0.378,0.482,0.386,2.56E-05,0.29,0.520231451,0.11
0.000119,0.428,0.946,3.37E-06,0.358,0.547253262,0.141
0.687,0.332,0.232,0,0.151,0.50140653,0.107
0.108,0.646,0.484,0,0.775,0.443252145,0.0451
0.281,0.695,0.182,0.00693,0.308,0.525167654,0.13
0.169,0.559,0.844,5.30E-05,0.613,0.792424858,0.0337
0.0414,0.571,0.935,0.0165,0.583,0.622023186,0.0932
0.921,0.476,0.419,0,0.838,0.542846818,0.385
0.044,0.655,0.437,0.000208,0.674,0.525520827,0.247
0.635,0.705,0.441,6.05E-06,0.891,0.439847725,0.137
0.799,0.25,0.0968,0.00524,0.0898,0.347164558,0.079
0.141,0.639,0.443,0.152,0.355,0.390214655,0.345
0.0179,0.672,0.773,0.000933,0.727,0.534403528,0.179
0.00299,0.43,0.671,0.0163,0.866,0.744816371,0.0668
