danceability,energy,valence,tempo
0.363,0.902,0.574,0.703778536
0.506,0.846,0.935,0.398124079
0.674,0.659,0.697,0.409713068
0.764,0.501,0.702,0.522465473
0.579,0.388,0.902,0.343850485
0.539,0.796,0.953,0.816830728
0.629,0.699,0.893,0.487476746
0.538,0.896,0.738,0.591559996
0.602,0.75,0.738,0.467818174
0.53,0.713,0.784,0.752816141
0.44,0.267,0.976,0.761633136
0.61,0.83,0.584,0.57859117
0.706,0.566,0.86,0.399701035
0.323,0.918,0.245,0.490318553
0.585,0.888,0.732,0.497936404
0.454,0.768,0.597,0.61355115
0.789,0.649,0.973,0.687314944
0.811,0.522,0.638,0.660966625
0.62,0.314,0.355,0.550325042
0.585,0.611,0.744,0.306028163
0.945,0.652,0.541,0.447391656
0.845,0.664,0.678,0.525175868
0.701,0.674,0.88,0.406637181
0.652,0.529,0.928,0.321826477
0.58,0.801,0.968,0.438102395
0.491,0.5,0.406,0.397113841
0.774,0.819,0.836,0.476265569
0.285,0.979,0.108,0.750286439
0.664,0.298,0.23,0.473875494
0.619,0.652,0.668,0.507923797
0.423,0.259,0.4,0.298681352
0.53,0.416,0.435,0.475674211
0.539,0.558,0.443,0.447691442
0.587,0.0106,0.297,0.420710698
0.483,0.0417,0.112,0.466282283
0.79,0.692,0.892,0.492872895
0.608,0.411,0.603,0.339123721
0.613,0.801,0.691,0.612951578
0.831,0.595,0.644,0.533647903
0.294,0.892,0.234,0.5705914
0.705,0.803,0.938,0.648782171
0.817,0.37,0.811,0.500318266
0.629,0.579,0.826,0.451510634
0.688,0.336,0.939,0.426866579
0.497,0.932,0.502,0.52557832
0.83,0.382,0.54,0.497398432
0.448,0.366,0.353,0.751584143
0.387,0.271,0.145,0.436447412
0.115,0.604,0.185,0.622339399
0.267,0.936,0.113,0.547360035
0.65,0.872,0.603,0.400136341
0.211,0.0117,0.0672,0.371434907
0.619,0.956,0.742,0.579946367
0.374,0.295,0.126,0.383442776
0.219,0.111,0.162,0.308533225
0.743,0.444,0.764,0.520128785
0.206,0.0222,0.0951,0.327559372
0.582,0.629,0.589,0.565030985
0.559,0.273,0.55,0.320951759
0.386,0.38,0.81,0.742298989
0.617,0.513,0.701,0.450147224
0.372,0.273,0.499,0.568365591
0.697,0.627,0.971,0.453301137
0.729,0.616,0.957,0.354039104
0.862,0.42,0.672,0.379147211
0.703,0.536,0.652,0.455617292
0.332,0.474,0.287,0.392066758
0.563,0.211,0.45,0.331115738
0.511,0.89,0.106,0.524485949
0.404,0.168,0.208,0.684292443
0.647,0.547,0.677,0.433383845
0.649,0.58,0.848,0.706916023
0.755,0.694,0.427,0.517939936
0.367,0.387,0.189,0.459654137
0.479,0.978,0.941,0.785657086
0.73,0.156,0.481,0.599600833
0.4,0.496,0.397,0.691162882
0.228,0.181,0.0875,0.337230552
0.765,0.601,0.957,0.648925904
0.658,0.524,0.66,0.45995803
0.678,0.472,0.702,0.615912479
0.548,0.933,0.419,0.496844033
0.663,0.509,0.716,0.400066528
0.639,0.676,0.231,0.418698436
0.657,0.95,0.858,0.469366384
0.887,0.393,0.337,0.502917781
0.585,0.481,0.746,0.396136456
0.432,0.181,0.104,0.312331884
0.354,0.592,0.284,0.315029958
0.626,0.827,0.743,0.519656519
0.452,0.608,0.889,0.781747547
0.857,0.858,0.672,0.454652228
0.562,0.538,0.325,0.424669517
0.748,0.498,0.633,0.4549438
0.578,0.124,0.32,0.376781776
0.816,0.743,0.568,0.435067575
0.498,0.694,0.862,0.807221148
0.505,0.0649,0.549,0.441346655
0.587,0.968,0.845,0.407507792
0.556,0.435,0.593,0.469230864
0.694,0.574,0.578,0.324060499
0.537,0.915,0.847,0.589116535
0.371,0.195,0.119,0.656506794
0.331,0.55,0.228,0.567010394
0.688,0.501,0.875,0.39761896
0.514,0.719,0.438,0.540579942
0.275,0.338,0.158,0.306122617
0.598,0.156,0.159,0.485657496
0.455,0.308,0.572,0.704074216
0.183,0.408,0.132,0.415195456
0.79,0.748,0.934,0.391491826
0.593,0.561,0.526,0.443679237
0.494,0.345,0.527,0.421006378
0.468,0.715,0.5,0.627899814
0.435,0.716,0.449,0.441650548
0.627,0.571,0.566,0.484187313
0.528,0.151,0.396,0.306865922
0.665,0.577,0.967,0.501636503
0.453,0.276,0.597,0.670711725
0.635,0.652,0.59,0.452968498
0.543,0.849,0.2,0.502519435
0.595,0.939,0.773,0.438311835
0.454,0.0932,0.297,0.430562571
0.67,0.614,0.897,0.40056754
0.427,0.397,0.294,0.547039715
0.315,0.116,0.0742,0.333990399
0.215,0.782,0.361,0.700907982
0.316,0.274,0.134,0.697778709
0.58,0.0921,0.317,0.450290957
0.54,0.885,0.813,0.725457584
0.477,0.366,0.56,0.577474159
0.498,0.246,0.152,0.621152575
0.571,0.934,0.474,0.495784515
0.59,0.559,0.311,0.469501903
0.813,0.393,0.891,0.499086269
0.801,0.871,0.628,0.420394486
0.64,0.591,0.896,0.393504088
0.692,0.659,0.733,0.552205891
0.168,0.451,0.365,0.393187876
0.619,0.223,0.431,0.508806728
0.525,0.607,0.571,0.303999474
0.793,0.878,0.955,0.388066873
0.833,0.616,0.933,0.538809973
0.602,0.794,0.401,0.498478483
0.55,0.823,0.357,0.426221833
0.642,0.636,0.604,0.640503148
0.89,0.489,0.961,0.369701898
0.344,0.784,0.488,0.386001224
0.287,0.685,0.343,0.661545664
0.333,0.895,0.284,0.570402494
0.452,0.139,0.674,0.395766857
0.685,0.48,0.867,0.721724632
0.792,0.806,0.809,0.377792014
0.78,0.79,0.776,0.451855593
0.672,0.837,0.911,0.512732694
0.34,0.015,0.135,0.537241229
0.345,0.575,0.517,0.698522014
0.668,0.487,0.723,0.41813993
0.708,0.759,0.389,0.418924302
0.492,0.348,0.381,0.532432333
0.599,0.0732,0.53,0.501106744
0.783,0.631,0.948,0.426106847
0.573,0.389,0.534,0.456393451
0.565,0.579,0.964,0.750524626
0.52,0.634,0.478,0.810305248
0.767,0.41,0.771,0.472684563
0.244,0.856,0.563,0.762803533
0.426,0.482,0.508,0.418464356
0.303,0.0338,0.0514,0.466643669
0.623,0.55,0.74,0.379344331
0.491,0.134,0.348,0.363081965
0.788,0.736,0.848,0.397060454
0.349,0.266,0.919,0.856956884
