id,acousticness,danceability,energy,duration_ms,instrumentalness,valence,tempo,liveness,loudness,speechiness,key
4HYmmG8uHL2hP4zSFWavKF,0.992,0.574,0.138,0.03466161,0.000492,0.764,0.65058499,0.233,0.71770417,0.109,0.27272727
4HsM025MRTDfhvpPPOSqaN,0.972,0.528,0.325,0.05114651,0.0234,0.146,0.4868936,0.102,0.74374755,0.0421,1
4L2HdjUaOAxF6JGp0Jvp3S,0.986,0.312,0.433,0.03863658,0.793,0.709,0.37287224,0.286,0.76546864,0.0555,0.09090909
4Lb0u3JwC4EWQXugQKGphZ,0.996,0.632,0.266,0.03077419,0.0365,0.575,0.52335662,0.444,0.73840733,0.0438,0.63636364
4MsVQL9djtpPsMM0tqtqzg,0.99,0.312,0.52,0.04938402,0.0837,0.866,0.23832169,0.123,0.77118472,0.0752,0.63636364
4NRMFGQeSVY2m4qNLrwVPV,0.988,0.409,0.633,0.04362405,0.726,0.73,0.48048311,0.176,0.77860778,0.0421,0.63636364
4RDT3ftT3V0IJVmW0TNgof,0.996,0.593,0.291,0.03234168,0.0845,0.856,0.60318595,0.21,0.7607705,0.0463,0.27272727
4ZtNSgwk3ErgdrhpNXokHx,0.989,0.402,0.158,0.02965164,0.13,0.196,0.42388925,0.311,0.67496672,0.039,0.27272727
4d7IwbmhNmY2gQBtaYnTZ7,0.985,0.328,0.201,0.03570166,0.517,0.31,0.32805217,0.113,0.68137186,0.0408,0.90909091
4dJ7WmMZgP2r91Gva8Ejbs,0.99,0.312,0.52,0.04938402,0.0837,0.866,0.23832169,0.123,0.77118472,0.0752,0.63636364
4ekpJ0IXeZHDNxUqhJluJQ,0.996,0.589,0.185,0.03389417,0.92,0.519,0.49265524,0.107,0.62173675,0.0721,0.09090909
4f9JFM9WYnaLgKOX2GXbLt,0.996,0.477,0.319,0.02804158,0.972,0.61,0.55071517,0.148,0.699585,0.0542,1
4fGLehaLo7wfTZiCpb7C4q,0.00294,0.609,0.838,0.01590366,0.000173,0.153,0.61622048,0.358,0.83573722,0.143,0.90909091
4jFsBM3wEzUXd9k8H4CL2A,0.0148,0.594,0.844,0.02877545,0,0.212,0.47254904,0.202,0.83556495,0.074,0.90909091
4jyti77pNe75LOwLVSYHb4,0.572,0.703,0.403,0.02575822,2.28E-05,0.328,0.55417709,0.112,0.78521651,0.0786,0.18181818
4kQxqLAtWzMrThDHBwV8q1,0.979,0.525,0.433,0.04748034,0.111,0.792,0.42125278,0.134,0.76069219,0.0488,0.18181818
4lDjkpUrpWlMFofIpzuExK,0.996,0.488,0.23,0.03105657,0.496,0.701,0.47596578,0.582,0.71350716,0.0396,0.45454545
4lUstBcJNTsSZrqgJoPPUI,0.971,0.313,0.287,0.03831165,0.00158,0.762,0.73956396,0.211,0.76499883,0.102,0.90909091
4pWy7AYFfXU6XgbZmtrz0n,0.0039,0.826,0.369,0.04108663,7.53E-06,0.69,0.37374285,0.302,0.59982773,0.134,0
4qHVjzBNc4CB2jM5uizth7,0.964,0.23,0.396,0.04245912,0.0742,0.704,0.28702666,0.274,0.80529324,0.0363,0.45454545
4r8pgW9PoHVhyTG4bCYpzc,0.276,0.694,0.498,0.04388655,4.79E-06,0.45,0.73943254,0.105,0.79957717,0.296,0.63636364
4rrCPXC7Res1Fhx3v5phcx,0.0156,0.802,0.718,0.05445943,0.894,0.324,0.53391484,0.0662,0.78241328,0.054,0.72727273
4rwfJITgPxy8cvkqXtMLHY,5.22E-05,0.268,0.589,0.04388543,0,0.0396,0.36401828,0.21,0.81439198,0.0595,0.72727273
4xVbS0WgPBmA89o6T9gV0G,0.00744,0.534,0.616,0.01609472,0.19,0.143,0.21067567,0.216,0.83703704,0.0429,0.36363636
